year;month;day;tts_sentence;tts_interval_min;theme_box_id;light_pattern_id;light_colors_id
2026;1;1;Gelukkig Nieuwjaar;77;24;2;40
2026;2;1;Eerste van de maand februari;249;23;4;7
2026;2;14;Valentijns en verlovingsdag;70;24;6;42
2026;2;15;Carnaval, Tadaaaaah - tadaaaah;95;24;3;7
2026;2;16;RosenMoontach, Agge mar leut heht;98;24;3;7
2026;2;17;Laatste Carnavalsdag, Agge mar leut heht;180;24;3;7
2026;2;18;Aswoensdag ,  - het is  uit met de carnavalspret;262;21;5;21
2026;3;1;Eerste van de maand maart;287;23;4;7
2026;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2026;3;19;Suikerfeest;249;10;7;1
2026;3;19;Suikerfeest;171;10;7;1
2026;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2026;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2026;4;3;Goede Vrijdag,  - bijna Pasen;245;13;2;13
2026;4;5;Vrolijk Pasen;90;17;9;5
2026;4;6;Tweede Paasdag;249;17;13;19
2026;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2026;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2026;5;4;Dodenherdenking;102;21;2;31
2026;5;5;Bevrijdingsdag;64;24;3;3
2026;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2026;5;14;Hemelvaart;133;11;2;29
2026;5;24;Pinksteren,  - wat is dat ook weer??;164;4;4;8
2026;5;25;Nog steeds Pinksteren,  - wat is dat ook weer??;174;4;4;8
2026;6;1;Eerste van de maand juni;157;23;4;7
2026;6;24;SintJan;61;24;27;5
2026;7;1;Eerste van de maand juli;171;23;4;7
2026;8;1;Eerste van de maand augustus;231;23;4;7
2026;9;1;Eerste van de maand september;282;23;4;7
2026;10;1;Eerste van de maand oktober;277;23;4;7
2026;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2026;11;1;Eerste van de maand november;221;23;4;7
2026;12;1;Eerste van de maand december;165;23;4;7
2026;12;5;Sinterklaas;113;12;6;28
2026;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2026;12;25;Vrolijk Kerstfeest;95;8;26;30
2026;12;26;Tweede Kerstdag;108;8;5;20
2026;12;28;Onnozele Kinderen;77;10;26;35
2027;1;1;Gelukkig Nieuwjaar;77;24;2;40
2027;2;1;Eerste van de maand februari;249;23;4;7
2027;2;7;Carnaval, Alaaf!!;80;24;3;7
2027;2;8;RosenMoontach, Tadaaaaah - tadaaaah;88;24;3;7
2027;2;9;Laatste Carnavalsdag, Tadaaaaah - tadaaaah;219;24;3;7
2027;2;10;Aswoensdag ,  - en dan nu: vasten;227;21;5;21
2027;2;14;Valentijns en verlovingsdag;70;24;6;42
2027;3;1;Eerste van de maand maart;287;23;4;7
2027;3;9;Suikerfeest;246;10;7;1
2027;3;9;Suikerfeest;201;10;7;1
2027;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2027;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2027;3;26;Goede Vrijdag,  - geen vrije dag;202;13;2;13
2027;3;28;Vrolijk Pasen, zoek de eitjes;95;17;9;5
2027;3;29;Tweede Paasdag, zoek de eitjes;272;17;13;19
2027;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2027;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2027;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2027;5;4;Dodenherdenking;102;21;2;31
2027;5;5;Bevrijdingsdag;64;24;3;3
2027;5;6;Hemelvaart;122;11;2;29
2027;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2027;5;16;Pinksteren,  - iets met vurige tongen?;137;4;4;8
2027;5;17;Nog steeds Pinksteren,  - iets met vurige tongen?;173;4;4;8
2027;6;1;Eerste van de maand juni;157;23;4;7
2027;6;24;SintJan;61;24;27;5
2027;7;1;Eerste van de maand juli;171;23;4;7
2027;8;1;Eerste van de maand augustus;231;23;4;7
2027;9;1;Eerste van de maand september;282;23;4;7
2027;10;1;Eerste van de maand oktober;277;23;4;7
2027;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2027;11;1;Eerste van de maand november;221;23;4;7
2027;12;1;Eerste van de maand december;165;23;4;7
2027;12;5;Sinterklaas;113;12;6;28
2027;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2027;12;25;Vrolijk Kerstfeest;95;8;26;30
2027;12;26;Tweede Kerstdag;108;8;5;20
2027;12;28;Onnozele Kinderen;77;10;26;35
2028;1;1;Gelukkig Nieuwjaar;77;24;2;40
2028;2;1;Eerste van de maand februari;249;23;4;7
2028;2;14;Valentijns en verlovingsdag;70;24;6;42
2028;2;26;Suikerfeest;240;10;7;1
2028;2;26;Suikerfeest;210;10;7;1
2028;2;27;Carnaval, Keiebijters!!;82;24;3;7
2028;2;28;RosenMoontach, Alaaf!!;99;24;3;7
2028;2;29;Laatste Carnavalsdag, Alaaf!!;250;24;3;7
2028;3;1;Eerste van de maand maart;287;23;4;7
2028;3;1;Aswoensdag ,  - en nu begint de katholieke ramadan;187;21;5;21
2028;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2028;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2028;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2028;4;14;Goede Vrijdag;187;13;2;13
2028;4;16;Vrolijk Pasen;86;17;9;5
2028;4;17;Tweede Paasdag;331;17;13;19
2028;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2028;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2028;5;4;Dodenherdenking;102;21;2;31
2028;5;5;Bevrijdingsdag;64;24;3;3
2028;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2028;5;25;Hemelvaart;101;11;2;29
2028;6;1;Eerste van de maand juni;157;23;4;7
2028;6;4;Pinksteren,  - de Heilige Geest zien vliegen???;117;4;4;8
2028;6;5;Nog steeds Pinksteren,  - de Heilige Geest zien vliegen???;206;4;4;8
2028;6;24;SintJan;61;24;27;5
2028;7;1;Eerste van de maand juli;171;23;4;7
2028;8;1;Eerste van de maand augustus;231;23;4;7
2028;9;1;Eerste van de maand september;282;23;4;7
2028;10;1;Eerste van de maand oktober;277;23;4;7
2028;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2028;11;1;Eerste van de maand november;221;23;4;7
2028;12;1;Eerste van de maand december;165;23;4;7
2028;12;5;Sinterklaas;113;12;6;28
2028;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2028;12;25;Vrolijk Kerstfeest;95;8;26;30
2028;12;26;Tweede Kerstdag;108;8;5;20
2028;12;28;Onnozele Kinderen;77;10;26;35
2029;1;1;Gelukkig Nieuwjaar;77;24;2;40
2029;2;1;Eerste van de maand februari;249;23;4;7
2029;2;11;Carnaval, En deh hittie naw gedonn umdettie Hellemonder is;99;24;3;7
2029;2;12;RosenMoontach, Keiebijters!!;121;24;3;7
2029;2;13;Laatste Carnavalsdag, Keiebijters!!;245;24;3;7
2029;2;14;Suikerfeest;175;10;7;1
2029;2;14;Suikerfeest;252;10;7;1
2029;2;14;Valentijns en verlovingsdag;70;24;6;42
2029;2;14;Aswoensdag ,  - het is  uit met de carnavalspret;179;21;5;21
2029;3;1;Eerste van de maand maart;287;23;4;7
2029;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2029;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2029;3;30;Goede Vrijdag,  tja, Goede Vrijdag?;215;13;2;13
2029;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2029;4;1;Vrolijk Pasen;71;17;9;5
2029;4;2;Tweede Paasdag, zoek de eitjes;371;17;13;19
2029;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2029;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2029;5;4;Dodenherdenking;102;21;2;31
2029;5;5;Bevrijdingsdag;64;24;3;3
2029;5;10;Hemelvaart;88;11;2;29
2029;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2029;5;20;Pinksteren;124;4;4;8
2029;5;21;Nog steeds Pinksteren;244;4;4;8
2029;6;1;Eerste van de maand juni;157;23;4;7
2029;6;24;SintJan;61;24;27;5
2029;7;1;Eerste van de maand juli;171;23;4;7
